id,nome,categoria,tipo,distrito,endereco,status_site,url_site,nota_google,reviews_google,volume_reviews,produto_onira,grau_fit,racional_fit,pitch_comercial,whatsapp,google_maps_url,instagram_handle,instagram_cadencia,guia_url
29,NNs Restaurante e Hamburgueria,Gastronomia Rural,Rural / Interior,Galópolis,"BR 116, km 159, Nº 587 , Galópolis",🔴 Sem Site (100% Guia),,4.5,183,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+555432842045,"https://www.google.com.br/maps/dir//-29.2265273,-51.1599176/@-29.2266151,-51.1602684,131m/data=!3m1!1e3!4m2!4m1!3e0",@nnsrestauranteehambu,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/onde-comer/nns-restaurante-e-hamburgueria-3031
30,Osteria Casa Castagna,Gastronomia Rural,Rural / Interior,Distritos / Interior,"Estrada do Imigrante, 350. Região da 3° Légua",🔴 Sem Site (100% Guia),,4.9,472,🔥 Alto (>300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554991728388,"https://www.google.com.br/maps/dir//-29.253669,-51.19417/@-29.253669,-51.1948137,271m/data=!3m1!1e3!4m2!4m1!3e0?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",@osteriacasacastagna,🔥 Alta (Feed semanal + Stories diários),https://www.guiadecaxiasdosul.com/empresa/onde-comer/osteria-casa-castagna-3245
31,Osteria Del Torchio - Área Rural,Gastronomia Rural,Rural / Interior,Distritos / Interior,Capela São Victor 4ª Légua,🔴 Sem Site (100% Guia),,4.5,86,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554999012012,"https://www.google.com.br/maps/dir//-29.246746,-51.113864/@-29.246746,-51.1160527,752m/data=!3m1!1e3!4m2!4m1!3e0",@osteriadeltorchiorea,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/onde-comer/osteria-del-torchio-area-rural-1744
32,Padaria D'Mone,Gastronomia Rural,Rural / Interior,Fazenda Souza,"Avenida Dante Marcucci, Fazenda Souza",🔴 Sem Site (100% Guia),,4.6,267,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554981433939,"https://www.google.com.br/maps/dir//-29.125724,-51.013598/@-29.125724,-51.0142417,271m/data=!3m1!1e3!4m2!4m1!3e0?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",@padariadmone,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/onde-comer/padaria-dmone-3248
33,Padaria da Marlene,Gastronomia Rural,Rural / Interior,Ana Rech,"Padaria da Marlene em Santa Barbara de Ana Rech produz bolos, doces, salgados e ",🔴 Sem Site (100% Guia),,4.7,221,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554991335355,"https://www.google.com.br/maps/dir//-29.077999,-51.08177/@-29.0779978,-51.0824374,394m/data=!3m1!1e3",@padariadamarlene,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/onde-comer/padaria-da-marlene-3126
34,Padaria Forqueta,Gastronomia Rural,Rural / Interior,Forqueta,Padaria Forqueta - Serviço - Guia de Caxias do Sul,🔴 Sem Site (100% Guia),,4.5,216,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+555432061274,"https://www.google.com.br/maps/dir//Padaria+e+Confeitaria+Forqueta+-+Av.+Lu%C3%ADz+Franciosi+S%C3%A9rio,+471+-+Forqueta,+Caxias+do+Sul+-+RS,+95115-350/@-29.2147868,-51.2828527,19.25z/data=!4m8!4m7!1m0!1m5!1m1!1s0x951ea16aaa577a39:0x5ba1b953ebbb05b9!2m2!1d-51.2830009!2d-29.2151503",@padariaforqueta,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/onde-comer/padaria-forqueta-1721
35,Pesque e Pague Capeletti,Gastronomia Rural,Rural / Interior,Forqueta,"Endereço: Estrada Nossa Senhora da Salete,  Forqueta. Caxias do Sul - RS",🔴 Sem Site (100% Guia),,4.5,171,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",Não informado,"https://www.google.com.br/maps/dir//Pesque+e+Pague+Capeletti+Pesque+e+Pague+Capeletti+-+Comunidade,+Estr.+Nossa+Sra.+da+Salete+-+Forqueta,+Caxias+do+Sul+-+RS,+95115-350/@-29.2032858,-51.2957364,11097m/data=!3m1!1e3!4m8!4m7!1m0!1m5!1m1!1s0x951ea14b140870f9:0xeb339f820fa93b08!2m2!1d-51.2803811!2d-29.2335413",@pesqueepaguecapelett,🔥 Alta (Feed semanal + Stories diários),https://www.guiadecaxiasdosul.com/empresa/onde-comer/pesque-e-pague-capeletti-2933
36,Petisqueria ARAG Galópolis,Gastronomia Rural,Rural / Interior,Galópolis,Petisqueria ARAG Galópolis - Serviço - Guia de Caxias do Sul,🔴 Sem Site (100% Guia),,4.8,384,🔥 Alto (>300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554999863975,"https://www.google.com.br/maps/dir//R.+Edviges+Gall%C3%B3,+176-132+-+Gal%C3%B3polis,+Caxias+do+Sul+-+RS,+95090-080/@-29.2317821,-51.1573939,60m/data=!3m1!1e3!4m9!4m8!1m0!1m5!1m1!1s0x951ebb1fdf1a9af1:0x8dad729c6c2cba6d!2m2!1d-51.1574194!2d-29.2317634!3e0",@petisqueriaaraggalpo,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/onde-comer/petisqueria-arag-galopolis-3030
37,Reges Burguer,Gastronomia Rural,Rural / Interior,Ana Rech,"Av. Rio Branco, 1657, Ana Rech",🔴 Sem Site (100% Guia),,4.7,346,🔥 Alto (>300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554993763151,https://www.google.com/maps/search/?api=1&query=Reges+Burguer+Caxias+do+Sul,@regesburguer,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/onde-comer/reges-burguer-3128
38,Reis Restaurante e Lancheria  - Do Valmir,Gastronomia Rural,Rural / Interior,Vila Oliva,Distrito de Vila Oliva,🔴 Sem Site (100% Guia),,4.7,308,🔥 Alto (>300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554999654530,"https://www.google.com.br/maps/dir//Estr.+Fazenda+Souza,+8599-8909,+Caxias+do+Sul+-+RS/@-29.223994,-50.8906613,239m/data=!3m1!1e3!4m9!4m8!1m0!1m5!1m1!1s0x951ecef928905b63:0x45472d585c1ecc36!2m2!1d-50.8900792!2d-29.2238202!3e0


	",@reisrestauranteelanc,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/onde-comer/reis-restaurante-e-lancheria-do-valmir-2734
39,Restaurante da Glória - Criúva,Gastronomia Rural,Rural / Interior,Criúva,Restaurante da Glória - Criúva - Serviço - Guia de Caxias do Sul,🔴 Sem Site (100% Guia),,4.8,118,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",Não informado,"https://www.google.com/maps/dir//-28.8784028,-50.9761585/@-28.8785912,-50.9759644,263m/data=!3m1!1e3!4m2!4m1!3e0?hl=pt-BR",@restaurantedaglriacr,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/onde-comer/restaurante-da-gloria-criuva-2850
40,Restaurante e Confraria Perondi,Gastronomia Rural,Rural / Interior,Ana Rech,"Av.Rio Branco, 4768, Ana Rech - Caxias do Sul",🔴 Sem Site (100% Guia),,4.6,173,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554984315613,"https://www.google.com/maps/dir//-29.117886,-51.110107/@-29.1178848,-51.1107507,232m/data=!3m1!1e3?entry=ttu",@restauranteeconfrari,🔥 Alta (Feed semanal + Stories diários),https://www.guiadecaxiasdosul.com/empresa/onde-comer/restaurante-e-confraria-perondi-3152
41,Restaurante Mazzochini,Gastronomia Rural,Rural / Interior,Vila Cristina,"Endere&ccedil;o:&nbsp;BR-116, Km 171&nbsp;- Distrito de Vila Cristina",🔴 Sem Site (100% Guia),,4.9,362,🔥 Alto (>300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",Não informado,"https://www.google.com.br/maps/dir//Restaurante+Mazzochini+-+Rodovia+BR-116,+Km+171,+9626-9778+-+Vila+Cristina,+Caxias+do+Sul+-+RS/@-29.3121671,-51.1672582,17.7z/data=!4m8!4m7!1m0!1m5!1m1!1s0x951eb03215edc4e5:0xdd6f6b6f6a849368!2m2!1d-51.1677369!2d-29.3102109",@restaurantemazzochin,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/onde-comer/restaurante-mazzochini-2794
42,Sabor na Mesa Restaurante,Gastronomia Rural,Rural / Interior,Forqueta,"RSC 453,  n°11598. Junto posto entrada bairro Forqueta.",🔴 Sem Site (100% Guia),,4.7,147,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554996481308,"https://www.google.com.br/maps/dir//Restaurante+Sabor+na+Mesa+-+RSC+453,+n%C3%BAmero+11598+-+Forqueta,+Caxias+do+Sul+-+RS,+95115-550/@-29.209653,-51.2875028,17z/data=!4m9!4m8!1m0!1m5!1m1!1s0x951ea1903f65f7d1:0xf68041bc80c1ff8a!2m2!1d-51.2849279!2d-29.209653!3e0?hl=pt-BR&entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D",@sabornamesarestauran,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/onde-comer/sabor-na-mesa-restaurante-3244
43,Va Bene Restaurante e Pizzaria,Gastronomia Rural,Rural / Interior,Criúva,"XV de Novembro, 620, Criúva",🔴 Sem Site (100% Guia),,4.7,466,🔥 Alto (>300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554999579662,"https://www.google.com/maps/dir/-28.8757316,-50.9764011/-28.8760886,-50.9773123/@-28.8760274,-50.9774614,94m/data=!3m1!1e3!4m4!4m3!1m0!1m1!4e1?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D",@vabenerestauranteepi,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/onde-comer/va-bene-restaurante-e-pizzaria-3421
44,Xiclé Lanches e Restaurante,Gastronomia Rural,Rural / Interior,Ana Rech,"Av. Rio Branco, 5136, Ana Rech, Caxia do Sul",🔴 Sem Site (100% Guia),,4.8,63,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+55054991041387,"https://www.google.com/maps/dir//Xicl%C3%A9+Restaurante+-+Av.+Rio+Branco,+5136+-+S%C3%A3o+Cristovao,+Caxias+do+Sul+-+RS,+95060-620/@-29.1181037,-51.1168668,659m/data=!3m1!1e3!4m9!4m8!1m0!1m5!1m1!1s0x951ebde7dfa6bfe7:0x732e969d029dd6a8!2m2!1d-51.1142919!2d-29.1181037!3e0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",@xicllancheserestaura,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/onde-comer/xicle-lanches-e-restaurante-3149
45,Zara7 Pub,Gastronomia Rural,Rural / Interior,Galópolis,"Zara Pub é a opção de entretenimento em Galópolis. Opção em almoço com buffet, a",🔴 Sem Site (100% Guia),,4.5,51,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554999364713,"https://www.google.com/maps/dir//Zara+7+PUB+-+R.+H%C3%A9rcules+Gall%C3%B3,+82+-+Gal%C3%B3polis,+Caxias+do+Sul+-+RS,+95090-110/@-29.2316564,-51.1573897,19.18z/data=!4m8!4m7!1m0!1m5!1m1!1s0x951ebb4ec2136d71:0xdc97125ff40c9344!2m2!1d-51.157589!2d-29.231457",@zara7pub,🔥 Alta (Feed semanal + Stories diários),https://www.guiadecaxiasdosul.com/empresa/onde-comer/zara7-pub-3001
46,Restaurante Chico do Mel e sabores da Tereza,Gastronomia Rural,Rural / Interior,Ana Rech,Restaurante Chico do Mel e sabores da Tereza - Restaurante típico em Ana Rech,🔴 Sem Site (100% Guia),,4.8,240,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",Não informado,"https://www.google.com.br/maps/place/Chico+do+Mel/@-29.109131,-51.081256,20z/data=!4m5!3m4!1s0x951ebe724f19126d:0x5efe764a4a2c4ddb!8m2!3d-29.1091991!4d-51.0810446",@restaurantechicodome,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/onde-comer/restaurante-chico-do-mel-e-sabores-da-tereza-2688
47,Venturin Empório Garden,Turismo Rural & Direto Produtor,Rural / Interior,Distritos / Interior,"Estrada Municipal Severino Martine Venturin, 7700, Monte Bérico ",🔴 Sem Site (100% Guia),,4.5,143,⚡ Médio (50-300),Onira Pro (Catálogo B2B / Atacado),🔴 Fit Crítico,Venda direta e distribuição de produtos coloniais em atacado para empórios e restaurantes; necessita de catálogo digital B2B com tabela PJ.,Substituir pedidos manuais no WhatsApp por catálogo corporativo com faturamento PJ e tabela de atacado.,+5554984100005,"https://www.google.com/maps/dir//Venturin+Uvas+Finas+-+Estrada+Municipal+Severino+Martine+Venturin+-+Monte+B%C3%A9rico,+Caxias+do+Sul+-+RS/@-29.1207239,-51.2386443,17z/data=!4m9!4m8!1m0!1m5!1m1!1s0x951e98ecbb7d6195:0xbb6154de297c9add!2m2!1d-51.2364556!2d-",@venturinempriogarden,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/turismo-rural-e-compras-direto-do-produtor/venturin-emporio-garden-1975
48,Massas e Biscoitos São Braz,Turismo Rural & Direto Produtor,Rural / Interior,Fazenda Souza,"Domingos Mazzochi, 237, São Braz, Fazenda Souza",🔴 Sem Site (100% Guia),,4.9,325,🔥 Alto (>300),Onira Pro (Catálogo B2B / Atacado),🔴 Fit Crítico,Venda direta e distribuição de produtos coloniais em atacado para empórios e restaurantes; necessita de catálogo digital B2B com tabela PJ.,Substituir pedidos manuais no WhatsApp por catálogo corporativo com faturamento PJ e tabela de atacado.,+5554996214105,https://www.google.com/maps/search/?api=1&query=Massas+e+Biscoitos+São+Braz+Caxias+do+Sul,@massasebiscoitossobr,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/turismo-rural-e-compras-direto-do-produtor/massas-e-biscoitos-sao-braz-3231
49,Agro Qualitá,Turismo Rural & Direto Produtor,Rural / Interior,Distritos / Interior,Não informado,🔴 Sem Site (100% Guia),,4.8,196,⚡ Médio (50-300),Onira Pro (Catálogo B2B / Atacado),🔴 Fit Crítico,Venda direta e distribuição de produtos coloniais em atacado para empórios e restaurantes; necessita de catálogo digital B2B com tabela PJ.,Substituir pedidos manuais no WhatsApp por catálogo corporativo com faturamento PJ e tabela de atacado.,+5554999548609,https://www.google.com/maps/search/?api=1&query=Agro+Qualitá+Caxias+do+Sul,@agroqualit,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/turismo-rural-e-compras-direto-do-produtor/agro-qualita-3120
50,Agroindústria Dolci Ricorddi,Turismo Rural & Direto Produtor,Rural / Interior,Distritos / Interior,"  Endereço - Estrada Padre Ari Camelo, Linha São Paulo - Distrito de Santa Lúcia",🔴 Sem Site (100% Guia),,4.5,290,⚡ Médio (50-300),Onira Pro (Catálogo B2B / Atacado),🔴 Fit Crítico,Venda direta e distribuição de produtos coloniais em atacado para empórios e restaurantes; necessita de catálogo digital B2B com tabela PJ.,Substituir pedidos manuais no WhatsApp por catálogo corporativo com faturamento PJ e tabela de atacado.,+5554997085364,https://maps.app.goo.gl/fi8fggQFNoDw2k539,@agroindstriadolciric,🔥 Alta (Feed semanal + Stories diários),https://www.guiadecaxiasdosul.com/empresa/turismo-rural-e-compras-direto-do-produtor/agroindustria-dolci-ricorddi-2869
51,Agroindústria Flor de Tunas e Frutas Tunas Altas,Turismo Rural & Direto Produtor,Rural / Interior,Vila Oliva,"Endereço Estrada Tunas Alta, Vila Oliva. Acesse a baixo link de localização  Dis",🔴 Sem Site (100% Guia),,4.6,364,🔥 Alto (>300),Onira Pro (Catálogo B2B / Atacado),🔴 Fit Crítico,Venda direta e distribuição de produtos coloniais em atacado para empórios e restaurantes; necessita de catálogo digital B2B com tabela PJ.,Substituir pedidos manuais no WhatsApp por catálogo corporativo com faturamento PJ e tabela de atacado.,+5554999400504,"https://www.google.com/maps/dir//-29.254993,-50.941634/@-29.254993,-50.9438227,17z/data=!4m2!4m1!3e0?hl=pt-BR",@agroindstriaflordetu,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/turismo-rural-e-compras-direto-do-produtor/agroindustria-flor-de-tunas-e-frutas-tunas-altas-2742
52,Agrorizzardi,Turismo Rural & Direto Produtor,Rural / Interior,Santa Lúcia do Piaí,Endereço - Estrada Municipal Jacob Boff - Distrito de Santa Lúcia do Piaí. Dista,🟢 Site Ativo (200),https://youtu.be/vySmCPsi9Ec,4.6,170,⚡ Médio (50-300),Onira Pro (Catálogo B2B / Atacado),🟡 Fit Alto,Venda direta e distribuição de produtos coloniais em atacado para empórios e restaurantes; necessita de catálogo digital B2B com tabela PJ.,Substituir pedidos manuais no WhatsApp por catálogo corporativo com faturamento PJ e tabela de atacado.,Não informado,"https://www.google.com.br/maps/dir//-29.2439438,-51.0048682/@-29.2443774,-51.0092772,753m/data=!3m1!1e3!4m2!4m1!3e0",@agrorizzardi,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/turismo-rural-e-compras-direto-do-produtor/agrorizzardi-2862
53,ALT HAUS Agroindústria de derivados da Cana de Açúcar,Turismo Rural & Direto Produtor,Rural / Interior,Vila Cristina,"Endere&ccedil;o: Linha Sebastopol 585, Vila Cristina - Via toda pavimentada at&e",🟢 Site Ativo (200),https://nairefinn.wixsite.com/althaus,4.5,416,🔥 Alto (>300),Onira Pro (Catálogo B2B / Atacado),🟡 Fit Alto,Venda direta e distribuição de produtos coloniais em atacado para empórios e restaurantes; necessita de catálogo digital B2B com tabela PJ.,Substituir pedidos manuais no WhatsApp por catálogo corporativo com faturamento PJ e tabela de atacado.,Não informado,"https://www.google.com.br/maps/dir//Agroind%C3%BAstria+Alt+Haus+-+Gal%C3%B3polis,+Caxias+do+Sul+-+RS/@-29.3384783,-51.1436736,956m/data=!3m1!1e3!4m8!4m7!1m0!1m5!1m1!1s0x951eb1862939a871:0x9228193092312ff7!2m2!1d-51.1400687!2d-29.33893",@althausagroindstriad,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/turismo-rural-e-compras-direto-do-produtor/alt-haus-agroindustria-de-derivados-da-cana-de-acucar-2790
54,Amor na Terra Morangos,Turismo Rural & Direto Produtor,Rural / Interior,Distritos / Interior,"Endereço: Rua Domingos Mazzochi, 253 localidade de São Braz - Distrito de Fazend",🔴 Sem Site (100% Guia),,4.7,169,⚡ Médio (50-300),Onira Pro (Catálogo B2B / Atacado),🔴 Fit Crítico,Venda direta e distribuição de produtos coloniais em atacado para empórios e restaurantes; necessita de catálogo digital B2B com tabela PJ.,Substituir pedidos manuais no WhatsApp por catálogo corporativo com faturamento PJ e tabela de atacado.,Não informado,"https://www.google.com.br/maps/dir//-29.1543241,-51.0644089/@-29.1543,-51.0644039,21z/data=!4m2!4m1!3e0",@amornaterramorangos,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/turismo-rural-e-compras-direto-do-produtor/amor-na-terra-morangos-2881
55,Apiário Abelhinha Feliz,Turismo Rural & Direto Produtor,Rural / Interior,Distritos / Interior,Não informado,🔴 Sem Site (100% Guia),,4.8,254,⚡ Médio (50-300),Onira Pro (Catálogo B2B / Atacado),🔴 Fit Crítico,Venda direta e distribuição de produtos coloniais em atacado para empórios e restaurantes; necessita de catálogo digital B2B com tabela PJ.,Substituir pedidos manuais no WhatsApp por catálogo corporativo com faturamento PJ e tabela de atacado.,+5554999283137,https://www.google.com/maps/search/?api=1&query=Apiário+Abelhinha+Feliz+Caxias+do+Sul,@apirioabelhinhafeliz,🔥 Alta (Feed semanal + Stories diários),https://www.guiadecaxiasdosul.com/empresa/turismo-rural-e-compras-direto-do-produtor/apiario-abelhinha-feliz-2886
56,As Irmãs Bianchi,Turismo Rural & Direto Produtor,Rural / Interior,Forqueta,"São Valentin, 2ª Légua, Forqueta",🔴 Sem Site (100% Guia),,4.8,239,⚡ Médio (50-300),Onira Pro (Catálogo B2B / Atacado),🔴 Fit Crítico,Venda direta e distribuição de produtos coloniais em atacado para empórios e restaurantes; necessita de catálogo digital B2B com tabela PJ.,Substituir pedidos manuais no WhatsApp por catálogo corporativo com faturamento PJ e tabela de atacado.,+5554999824121,"https://www.google.com.br/maps/dir//Caxias+do+Sul,+RS/@-29.3109896,-51.2392509,292m/data=!3m1!1e3!4m9!4m8!1m0!1m5!1m1!1s0x951eaf690e1cd37b:0x684dd5755cf6a41a!2m2!1d-51.2392648!2d-29.3110686!3e0",@asirmsbianchi,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/turismo-rural-e-compras-direto-do-produtor/as-irmas-bianchi-3112
57,BF Embutidos Suínos,Turismo Rural & Direto Produtor,Rural / Interior,Farias Lemos,"Endereço: Estrada Municipal João Edegar Jung, Farias Lemos, em frente a Igreja L",🔴 Sem Site (100% Guia),,4.6,105,⚡ Médio (50-300),Onira Pro (Catálogo B2B / Atacado),🔴 Fit Crítico,Venda direta e distribuição de produtos coloniais em atacado para empórios e restaurantes; necessita de catálogo digital B2B com tabela PJ.,Substituir pedidos manuais no WhatsApp por catálogo corporativo com faturamento PJ e tabela de atacado.,Não informado,"https://www.google.com.br/maps/dir//-29.2724841,-51.0543054/@-29.2729835,-51.0547216,379m/data=!3m1!1e3!4m2!4m1!3e0",@bfembutidossunos,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/turismo-rural-e-compras-direto-do-produtor/bf-embutidos-suinos-2857
58,Bianchi Embutidos,Turismo Rural & Direto Produtor,Rural / Interior,Distritos / Interior,Localizado no Distrito de Santa L&uacute;cia do Pia&iacute;. Para compras direto,🔴 Sem Site (100% Guia),,4.7,81,⚡ Médio (50-300),Onira Pro (Catálogo B2B / Atacado),🔴 Fit Crítico,Venda direta e distribuição de produtos coloniais em atacado para empórios e restaurantes; necessita de catálogo digital B2B com tabela PJ.,Substituir pedidos manuais no WhatsApp por catálogo corporativo com faturamento PJ e tabela de atacado.,+5554996876783,"https://www.google.com/maps/dir//-29.2255633,-50.9888751/@-29.225871,-50.989103,218m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",@bianchiembutidos,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/turismo-rural-e-compras-direto-do-produtor/bianchi-embutidos-3422
